PSNR,SSIM,MSE,num_samples
17.613311600805016,0.9236448737748233,5.564144134521484,100
20.586999083762418,0.9403759913330708,3.6480331420898438,200
23.31833474723637,0.9540997123292799,2.47772216796875,300
24.28363042141646,0.9613040215260986,2.0931968688964844,400
24.51475411358381,0.9642892707750002,1.7085494995117188,500
26.00441701536908,0.965073118781149,1.8592796325683594,600
24.500506482339226,0.969933141515338,1.7542190551757812,700
25.204124727352916,0.9692534198001203,1.8408393859863281,800
28.76101941106395,0.9800335544726726,1.2481765747070312,900
29.726089410373888,0.9827514303738849,0.9400100708007812,1000
26.44656218343311,0.9779641031777695,1.6307411193847656,1100
29.537182030499423,0.982889661988682,0.9629325866699219,1200
28.848042304062275,0.9819391900913528,1.3622283935546875,1300
32.16410040783536,0.9867042244425991,0.8554153442382812,1400
29.277345510420183,0.9834048029339235,1.1521453857421875,1500
31.210264511119725,0.9867628248793057,0.8815650939941406,1600
31.44409563758013,0.9882346843005998,0.8794670104980469,1700
33.47209270110734,0.9913303107954305,0.6363410949707031,1800
33.23906933783667,0.9889975457793025,0.6612586975097656,1900
34.203258319098865,0.9909392305508116,0.6027297973632812,2000
30.314900639801408,0.9877029478325687,0.8916473388671875,2100
33.01463801846767,0.99112820137931,0.6616783142089844,2200
33.436105604905286,0.990908963905969,0.6622390747070312,2300
34.76869687125549,0.9929588191300293,0.6135482788085938,2400
34.49910485818425,0.9922437344146363,0.6149978637695312,2500
34.75050348316514,0.9929907396864863,0.6023330688476562,2600
34.41845980591813,0.9927240126297838,0.6311759948730469,2700
33.506087712239335,0.9926079627531996,0.6422119140625,2800
29.116967197938102,0.9868081783786541,1.2514495849609375,2900
29.493624177223328,0.9876709910799042,1.0370063781738281,3000
