PSNR,SSIM,MSE,num_samples
19.198116790232877,0.931851389551827,3.9924163818359375,100
22.74060173353634,0.9519170427064675,2.3515892028808594,200
25.349048759665337,0.9685868833151327,1.8017654418945312,300
26.56520401628468,0.9729628686441927,1.5219078063964844,400
27.765338312114643,0.9815934084632089,1.0354957580566406,500
25.768069010450258,0.9753219773356607,1.5302009582519531,600
26.93223715897397,0.9833132268091238,1.1853370666503906,700
31.921421350695418,0.9917554939724906,0.6179237365722656,800
33.096182790655256,0.991796851351015,0.6060066223144531,900
33.61901940970172,0.9922105103047245,0.6173477172851562,1000
34.23134486380223,0.9929929461717638,0.5924339294433594,1100
33.93262342759951,0.992726390492804,0.611236572265625,1200
34.1905033568208,0.9934699051601802,0.5984649658203125,1300
34.270423371507896,0.9935387774244235,0.5982627868652344,1400
33.76210357294652,0.9926832927542343,0.6285552978515625,1500
34.16308895386392,0.9932994835907281,0.6087226867675781,1600
34.16611959381532,0.9934683993540927,0.6068458557128906,1700
34.1384637736646,0.993460981843242,0.6122970581054688,1800
34.17826044499134,0.9935327430127159,0.6033515930175781,1900
34.16701641234662,0.9935037810895025,0.6011848449707031,2000
34.15266497311728,0.9934724770009628,0.6015205383300781,2100
34.15586419923761,0.9934910119746851,0.6059646606445312,2200
34.122118375520785,0.9934020830100947,0.6268196105957031,2300
34.12014880551534,0.9934005476911831,0.6264305114746094,2400
33.96695985322955,0.9933087062166166,0.6308822631835938,2500
33.97116199927638,0.9933381736431324,0.6284255981445312,2600
34.06848198392882,0.9935149587924168,0.6148414611816406,2700
34.13116015800911,0.9935499163935267,0.615631103515625,2800
34.081228428168686,0.9935038789975306,0.6234931945800781,2900
